[34m[1mwandb[0m: Detected [huggingface_hub.inference] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                                                                                           
{'loss': 0.0057, 'grad_norm': 0.38850173354148865, 'learning_rate': 0.0, 'num_tokens': 68067.0, 'completions/mean_length': 456.0859375, 'completions/min_length': 100.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.3671875, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.703125, 'completions/mean_terminated_length': 323.65789794921875, 'completions/min_terminated_length': 100.0, 'completions/max_terminated_length': 507.0, 'rewards/compute_reward/mean': 0.578125, 'rewards/compute_reward/std': 0.4957992732524872, 'reward': 0.578125, 'reward_std': 0.19568344950675964, 'frac_reward_zero_std': 0.5625, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.0}
{'loss': -0.026, 'grad_norm': 0.4342445433139801, 'learning_rate': 5.2380952380952384e-06, 'num_tokens': 805306.0, 'completions/mean_length': 428.71875, 'completions/min_length': 96.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.2734375, 'augmentations/min_length': 0.0, 'augmentations/max_length': 6.0, 'completions/clipped_ratio': 0.5546875, 'completions/mean_terminated_length': 324.9824523925781, 'completions/min_terminated_length': 96.0, 'completions/max_terminated_length': 504.0, 'rewards/compute_reward/mean': 0.4921875, 'rewards/compute_reward/std': 0.5019033551216125, 'reward': 0.4921875, 'reward_std': 0.27564430236816406, 'frac_reward_zero_std': 0.375, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.06}
{'loss': -0.003, 'grad_norm': 0.5728450417518616, 'learning_rate': 5.7142857142857145e-06, 'num_tokens': 872655.0, 'completions/mean_length': 447.7890625, 'completions/min_length': 113.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.265625, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.671875, 'completions/mean_terminated_length': 316.3095397949219, 'completions/min_terminated_length': 113.0, 'completions/max_terminated_length': 509.0, 'rewards/compute_reward/mean': 0.6328125, 'rewards/compute_reward/std': 0.4839322865009308, 'reward': 0.6328125, 'reward_std': 0.14807432889938354, 'frac_reward_zero_std': 0.6875, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.06}
{'loss': -0.0091, 'grad_norm': 0.9818285703659058, 'learning_rate': 6.1904761904761914e-06, 'num_tokens': 939056.0, 'completions/mean_length': 439.3828125, 'completions/min_length': 69.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.3359375, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.6484375, 'completions/mean_terminated_length': 305.4444580078125, 'completions/min_terminated_length': 69.0, 'completions/max_terminated_length': 510.0, 'rewards/compute_reward/mean': 0.8046875, 'rewards/compute_reward/std': 0.3979988098144531, 'reward': 0.8046875, 'reward_std': 0.22621294856071472, 'frac_reward_zero_std': 0.4375, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.07}
{'loss': -0.0172, 'grad_norm': 0.2563328444957733, 'learning_rate': 6.666666666666667e-06, 'num_tokens': 1003654.0, 'completions/mean_length': 428.734375, 'completions/min_length': 107.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.2890625, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.5859375, 'completions/mean_terminated_length': 310.9056701660156, 'completions/min_terminated_length': 107.0, 'completions/max_terminated_length': 508.0, 'rewards/compute_reward/mean': 0.65625, 'rewards/compute_reward/std': 0.47682511806488037, 'reward': 0.65625, 'reward_std': 0.11230766773223877, 'frac_reward_zero_std': 0.75, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.07}
{'loss': -0.0197, 'grad_norm': 0.7669168710708618, 'learning_rate': 7.1428571428571436e-06, 'num_tokens': 1071338.0, 'completions/mean_length': 449.59375, 'completions/min_length': 138.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.5546875, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.7109375, 'completions/mean_terminated_length': 296.1081237792969, 'completions/min_terminated_length': 138.0, 'completions/max_terminated_length': 501.0, 'rewards/compute_reward/mean': 0.6875, 'rewards/compute_reward/std': 0.4653336703777313, 'reward': 0.6875, 'reward_std': 0.19226360321044922, 'frac_reward_zero_std': 0.5625, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.08}
{'loss': -0.0487, 'grad_norm': 0.6162513494491577, 'learning_rate': 7.61904761904762e-06, 'num_tokens': 1139728.0, 'completions/mean_length': 453.296875, 'completions/min_length': 150.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.03125, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.7265625, 'completions/mean_terminated_length': 297.3143005371094, 'completions/min_terminated_length': 150.0, 'completions/max_terminated_length': 492.0, 'rewards/compute_reward/mean': 0.65625, 'rewards/compute_reward/std': 0.47682511806488037, 'reward': 0.65625, 'reward_std': 0.23144522309303284, 'frac_reward_zero_std': 0.5, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.08}
{'loss': -0.0091, 'grad_norm': 0.31549131870269775, 'learning_rate': 8.095238095238097e-06, 'num_tokens': 1205950.0, 'completions/mean_length': 435.046875, 'completions/min_length': 112.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.046875, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.609375, 'completions/mean_terminated_length': 315.0, 'completions/min_terminated_length': 112.0, 'completions/max_terminated_length': 481.0, 'rewards/compute_reward/mean': 0.453125, 'rewards/compute_reward/std': 0.4997538626194, 'reward': 0.453125, 'reward_std': 0.2790592312812805, 'frac_reward_zero_std': 0.375, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.09}
{'loss': -0.045, 'grad_norm': 0.32159990072250366, 'learning_rate': 8.571428571428571e-06, 'num_tokens': 1267566.0, 'completions/mean_length': 389.0, 'completions/min_length': 112.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.0234375, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.4921875, 'completions/mean_terminated_length': 269.78460693359375, 'completions/min_terminated_length': 112.0, 'completions/max_terminated_length': 503.0, 'rewards/compute_reward/mean': 0.6796875, 'rewards/compute_reward/std': 0.4684300124645233, 'reward': 0.6796875, 'reward_std': 0.21382391452789307, 'frac_reward_zero_std': 0.5625, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.09}
{'loss': 0.0139, 'grad_norm': 0.2711435854434967, 'learning_rate': 9.047619047619049e-06, 'num_tokens': 1337271.0, 'completions/mean_length': 459.6953125, 'completions/min_length': 203.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.28125, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.6875, 'completions/mean_terminated_length': 344.625, 'completions/min_terminated_length': 203.0, 'completions/max_terminated_length': 495.0, 'rewards/compute_reward/mean': 0.671875, 'rewards/compute_reward/std': 0.4713755249977112, 'reward': 0.671875, 'reward_std': 0.07312605530023575, 'frac_reward_zero_std': 0.8125, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.1}
{'loss': -0.0169, 'grad_norm': 0.6103189587593079, 'learning_rate': 9.523809523809525e-06, 'num_tokens': 1403603.0, 'completions/mean_length': 432.84375, 'completions/min_length': 123.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.640625, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.6015625, 'completions/mean_terminated_length': 313.3333435058594, 'completions/min_terminated_length': 123.0, 'completions/max_terminated_length': 509.0, 'rewards/compute_reward/mean': 0.59375, 'rewards/compute_reward/std': 0.4930621087551117, 'reward': 0.59375, 'reward_std': 0.22962789237499237, 'frac_reward_zero_std': 0.4375, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.1}
{'loss': 0.0071, 'grad_norm': 0.2717456519603729, 'learning_rate': 1e-05, 'num_tokens': 1474808.0, 'completions/mean_length': 470.4765625, 'completions/min_length': 124.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.3671875, 'augmentations/min_length': 1.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.7578125, 'completions/mean_terminated_length': 340.5483703613281, 'completions/min_terminated_length': 124.0, 'completions/max_terminated_length': 509.0, 'rewards/compute_reward/mean': 0.875, 'rewards/compute_reward/std': 0.3320184051990509, 'reward': 0.875, 'reward_std': 0.08785156905651093, 'frac_reward_zero_std': 0.8125, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.1}
{'loss': -0.0285, 'grad_norm': 0.4702163338661194, 'learning_rate': 9.99930927345553e-06, 'num_tokens': 1542129.0, 'completions/mean_length': 442.4453125, 'completions/min_length': 120.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.2578125, 'augmentations/min_length': 1.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.65625, 'completions/mean_terminated_length': 309.6590881347656, 'completions/min_terminated_length': 120.0, 'completions/max_terminated_length': 497.0, 'rewards/compute_reward/mean': 0.703125, 'rewards/compute_reward/std': 0.45867621898651123, 'reward': 0.703125, 'reward_std': 0.1354655921459198, 'frac_reward_zero_std': 0.6875, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.11}
{'loss': -0.0257, 'grad_norm': 0.348425030708313, 'learning_rate': 9.99723728466338e-06, 'num_tokens': 1613540.0, 'completions/mean_length': 473.2109375, 'completions/min_length': 94.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.5859375, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.765625, 'completions/mean_terminated_length': 346.5000305175781, 'completions/min_terminated_length': 94.0, 'completions/max_terminated_length': 500.0, 'rewards/compute_reward/mean': 0.6796875, 'rewards/compute_reward/std': 0.4684300124645233, 'reward': 0.6796875, 'reward_std': 0.2527809143066406, 'frac_reward_zero_std': 0.375, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.11}
{'loss': -0.0072, 'grad_norm': 0.3291794955730438, 'learning_rate': 9.993784606094612e-06, 'num_tokens': 1684267.0, 'completions/mean_length': 471.3046875, 'completions/min_length': 157.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.15625, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.7578125, 'completions/mean_terminated_length': 343.9677429199219, 'completions/min_terminated_length': 157.0, 'completions/max_terminated_length': 511.0, 'rewards/compute_reward/mean': 0.75, 'rewards/compute_reward/std': 0.434714138507843, 'reward': 0.75, 'reward_std': 0.14571532607078552, 'frac_reward_zero_std': 0.6875, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.12}
{'loss': 0.0019, 'grad_norm': 0.7216444611549377, 'learning_rate': 9.988952191691925e-06, 'num_tokens': 1755801.0, 'completions/mean_length': 463.859375, 'completions/min_length': 164.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 2.984375, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.71875, 'completions/mean_terminated_length': 340.8333435058594, 'completions/min_terminated_length': 164.0, 'completions/max_terminated_length': 503.0, 'rewards/compute_reward/mean': 0.5390625, 'rewards/compute_reward/std': 0.5004304051399231, 'reward': 0.5390625, 'reward_std': 0.172288179397583, 'frac_reward_zero_std': 0.625, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.12}
{'loss': -0.0369, 'grad_norm': 0.8003712296485901, 'learning_rate': 9.982741376606077e-06, 'num_tokens': 1825781.0, 'completions/mean_length': 458.59375, 'completions/min_length': 123.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.125, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.6796875, 'completions/mean_terminated_length': 345.2682800292969, 'completions/min_terminated_length': 123.0, 'completions/max_terminated_length': 495.0, 'rewards/compute_reward/mean': 0.6953125, 'rewards/compute_reward/std': 0.46208351850509644, 'reward': 0.6953125, 'reward_std': 0.15756267309188843, 'frac_reward_zero_std': 0.625, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.13}
{'loss': 0.0132, 'grad_norm': 0.6315264701843262, 'learning_rate': 9.975153876827008e-06, 'num_tokens': 1895226.0, 'completions/mean_length': 458.7265625, 'completions/min_length': 130.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.2890625, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.65625, 'completions/mean_terminated_length': 357.0227355957031, 'completions/min_terminated_length': 130.0, 'completions/max_terminated_length': 503.0, 'rewards/compute_reward/mean': 0.6875, 'rewards/compute_reward/std': 0.4653336703777313, 'reward': 0.6875, 'reward_std': 0.2161829173564911, 'frac_reward_zero_std': 0.5625, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.13}
{'loss': 0.0064, 'grad_norm': 0.5198935270309448, 'learning_rate': 9.966191788709716e-06, 'num_tokens': 1963046.0, 'completions/mean_length': 454.40625, 'completions/min_length': 151.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.0703125, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.734375, 'completions/mean_terminated_length': 295.1764831542969, 'completions/min_terminated_length': 151.0, 'completions/max_terminated_length': 504.0, 'rewards/compute_reward/mean': 0.78125, 'rewards/compute_reward/std': 0.41502299904823303, 'reward': 0.78125, 'reward_std': 0.25118330121040344, 'frac_reward_zero_std': 0.4375, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.14}
{'loss': -0.0091, 'grad_norm': 0.3851301968097687, 'learning_rate': 9.955857588395065e-06, 'num_tokens': 2029844.0, 'completions/mean_length': 443.421875, 'completions/min_length': 145.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.3671875, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.6328125, 'completions/mean_terminated_length': 325.2340393066406, 'completions/min_terminated_length': 145.0, 'completions/max_terminated_length': 509.0, 'rewards/compute_reward/mean': 0.46875, 'rewards/compute_reward/std': 0.5009832978248596, 'reward': 0.46875, 'reward_std': 0.21382881700992584, 'frac_reward_zero_std': 0.5625, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.14}
