[34m[1mwandb[0m: Detected [huggingface_hub.inference] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                                                                                                           
{'loss': 5.8672, 'grad_norm': 2255.412353515625, 'learning_rate': 0.0, 'num_tokens': 667.0, 'mean_token_accuracy': 0.7657430768013, 'epoch': 0.0}
{'loss': 6.9453, 'grad_norm': 3640.800537109375, 'learning_rate': 3.2640949554896146e-07, 'num_tokens': 9431.0, 'mean_token_accuracy': 0.7233333587646484, 'epoch': 0.01}
{'loss': 6.1406, 'grad_norm': 5853.107421875, 'learning_rate': 3.560830860534125e-07, 'num_tokens': 10354.0, 'mean_token_accuracy': 0.772020697593689, 'epoch': 0.01}
{'loss': 5.7031, 'grad_norm': 6990.26025390625, 'learning_rate': 3.857566765578635e-07, 'num_tokens': 11167.0, 'mean_token_accuracy': 0.8027613162994385, 'epoch': 0.01}
{'loss': 6.1523, 'grad_norm': 6538.47119140625, 'learning_rate': 4.1543026706231454e-07, 'num_tokens': 11874.0, 'mean_token_accuracy': 0.7701711654663086, 'epoch': 0.01}
{'loss': 6.3633, 'grad_norm': 8902.7626953125, 'learning_rate': 4.451038575667656e-07, 'num_tokens': 12591.0, 'mean_token_accuracy': 0.7451456189155579, 'epoch': 0.01}
{'loss': 5.9062, 'grad_norm': 630.7547607421875, 'learning_rate': 4.7477744807121665e-07, 'num_tokens': 13320.0, 'mean_token_accuracy': 0.7958715558052063, 'epoch': 0.01}
{'loss': 4.6719, 'grad_norm': 596.2921752929688, 'learning_rate': 5.044510385756677e-07, 'num_tokens': 14070.0, 'mean_token_accuracy': 0.8165137767791748, 'epoch': 0.01}
{'loss': 4.8359, 'grad_norm': 11920.05078125, 'learning_rate': 5.341246290801187e-07, 'num_tokens': 14720.0, 'mean_token_accuracy': 0.8165374398231506, 'epoch': 0.01}
{'loss': 6.4688, 'grad_norm': 3337.120361328125, 'learning_rate': 5.637982195845697e-07, 'num_tokens': 15460.0, 'mean_token_accuracy': 0.7627906799316406, 'epoch': 0.01}
{'loss': 5.1328, 'grad_norm': 846.4857788085938, 'learning_rate': 5.934718100890209e-07, 'num_tokens': 16367.0, 'mean_token_accuracy': 0.8185483813285828, 'epoch': 0.01}
{'loss': 6.0391, 'grad_norm': 4293.208984375, 'learning_rate': 6.231454005934719e-07, 'num_tokens': 17073.0, 'mean_token_accuracy': 0.8089622855186462, 'epoch': 0.01}
{'loss': 7.1484, 'grad_norm': 1620.0352783203125, 'learning_rate': 6.528189910979229e-07, 'num_tokens': 17672.0, 'mean_token_accuracy': 0.7184466123580933, 'epoch': 0.01}
{'loss': 6.2891, 'grad_norm': 7264.44580078125, 'learning_rate': 6.82492581602374e-07, 'num_tokens': 18387.0, 'mean_token_accuracy': 0.7445255517959595, 'epoch': 0.01}
{'loss': 5.9336, 'grad_norm': 14202.3154296875, 'learning_rate': 7.12166172106825e-07, 'num_tokens': 19104.0, 'mean_token_accuracy': 0.7982261776924133, 'epoch': 0.01}
{'loss': 4.9336, 'grad_norm': 4674.2021484375, 'learning_rate': 7.41839762611276e-07, 'num_tokens': 20067.0, 'mean_token_accuracy': 0.8225538730621338, 'epoch': 0.02}
{'loss': 3.9297, 'grad_norm': 2000.85791015625, 'learning_rate': 7.71513353115727e-07, 'num_tokens': 21127.0, 'mean_token_accuracy': 0.7972972989082336, 'epoch': 0.02}
{'loss': 5.5156, 'grad_norm': 2070.526123046875, 'learning_rate': 8.011869436201782e-07, 'num_tokens': 22053.0, 'mean_token_accuracy': 0.8240270614624023, 'epoch': 0.02}
{'loss': 5.5273, 'grad_norm': 6053.86376953125, 'learning_rate': 8.308605341246291e-07, 'num_tokens': 22938.0, 'mean_token_accuracy': 0.7929824590682983, 'epoch': 0.02}
{'loss': 5.3047, 'grad_norm': 16541.830078125, 'learning_rate': 8.605341246290802e-07, 'num_tokens': 23661.0, 'mean_token_accuracy': 0.834080696105957, 'epoch': 0.02}
{'loss': 5.2031, 'grad_norm': 2328.4521484375, 'learning_rate': 8.902077151335312e-07, 'num_tokens': 24404.0, 'mean_token_accuracy': 0.8021390438079834, 'epoch': 0.02}
{'loss': 7.543, 'grad_norm': 6753.39013671875, 'learning_rate': 9.198813056379823e-07, 'num_tokens': 25147.0, 'mean_token_accuracy': 0.7664974331855774, 'epoch': 0.02}
{'loss': 5.1172, 'grad_norm': 8473.5927734375, 'learning_rate': 9.495548961424333e-07, 'num_tokens': 25898.0, 'mean_token_accuracy': 0.8236607313156128, 'epoch': 0.02}
{'loss': 5.5977, 'grad_norm': 2674.832275390625, 'learning_rate': 9.792284866468842e-07, 'num_tokens': 26951.0, 'mean_token_accuracy': 0.7877907156944275, 'epoch': 0.02}
{'loss': 4.6953, 'grad_norm': 13909.7021484375, 'learning_rate': 1.0089020771513354e-06, 'num_tokens': 27847.0, 'mean_token_accuracy': 0.8197879791259766, 'epoch': 0.02}
{'loss': 5.0273, 'grad_norm': 4883.38427734375, 'learning_rate': 1.0385756676557865e-06, 'num_tokens': 28934.0, 'mean_token_accuracy': 0.7914764285087585, 'epoch': 0.02}
{'loss': 5.3281, 'grad_norm': 8342.1044921875, 'learning_rate': 1.0682492581602374e-06, 'num_tokens': 29638.0, 'mean_token_accuracy': 0.8181818127632141, 'epoch': 0.02}
{'loss': 6.5703, 'grad_norm': 5796.32373046875, 'learning_rate': 1.0979228486646885e-06, 'num_tokens': 30331.0, 'mean_token_accuracy': 0.7668711543083191, 'epoch': 0.02}
{'loss': 4.7969, 'grad_norm': 2435.966796875, 'learning_rate': 1.1275964391691395e-06, 'num_tokens': 31141.0, 'mean_token_accuracy': 0.8029661178588867, 'epoch': 0.02}
{'loss': 4.6562, 'grad_norm': 5404.00146484375, 'learning_rate': 1.1572700296735906e-06, 'num_tokens': 32028.0, 'mean_token_accuracy': 0.8209219574928284, 'epoch': 0.02}
{'loss': 5.3867, 'grad_norm': 5511.6337890625, 'learning_rate': 1.1869436201780417e-06, 'num_tokens': 32863.0, 'mean_token_accuracy': 0.7933884263038635, 'epoch': 0.02}
{'loss': 6.6445, 'grad_norm': 4475.8759765625, 'learning_rate': 1.2166172106824927e-06, 'num_tokens': 33748.0, 'mean_token_accuracy': 0.7624750733375549, 'epoch': 0.02}
{'loss': 5.7891, 'grad_norm': 3885.089599609375, 'learning_rate': 1.2462908011869438e-06, 'num_tokens': 34682.0, 'mean_token_accuracy': 0.760399341583252, 'epoch': 0.03}
{'loss': 5.4141, 'grad_norm': 9671.8037109375, 'learning_rate': 1.2759643916913947e-06, 'num_tokens': 35452.0, 'mean_token_accuracy': 0.7755555510520935, 'epoch': 0.03}
{'loss': 4.2109, 'grad_norm': 10806.2568359375, 'learning_rate': 1.3056379821958458e-06, 'num_tokens': 36383.0, 'mean_token_accuracy': 0.8423566818237305, 'epoch': 0.03}
{'loss': 5.0703, 'grad_norm': 10961.0986328125, 'learning_rate': 1.335311572700297e-06, 'num_tokens': 37303.0, 'mean_token_accuracy': 0.8085442781448364, 'epoch': 0.03}
{'loss': 5.3594, 'grad_norm': 4276.58056640625, 'learning_rate': 1.364985163204748e-06, 'num_tokens': 38067.0, 'mean_token_accuracy': 0.7703549265861511, 'epoch': 0.03}
{'loss': 4.7422, 'grad_norm': 992.8466186523438, 'learning_rate': 1.394658753709199e-06, 'num_tokens': 38876.0, 'mean_token_accuracy': 0.8249496817588806, 'epoch': 0.03}
{'loss': 4.6523, 'grad_norm': 11379.4150390625, 'learning_rate': 1.42433234421365e-06, 'num_tokens': 39685.0, 'mean_token_accuracy': 0.8062499761581421, 'epoch': 0.03}
{'loss': 6.0547, 'grad_norm': 3833.89990234375, 'learning_rate': 1.4540059347181009e-06, 'num_tokens': 40534.0, 'mean_token_accuracy': 0.743852436542511, 'epoch': 0.03}
{'loss': 4.5312, 'grad_norm': 4123.77587890625, 'learning_rate': 1.483679525222552e-06, 'num_tokens': 41451.0, 'mean_token_accuracy': 0.8474576473236084, 'epoch': 0.03}
{'loss': 5.2383, 'grad_norm': 4975.62841796875, 'learning_rate': 1.5133531157270031e-06, 'num_tokens': 42199.0, 'mean_token_accuracy': 0.8202247023582458, 'epoch': 0.03}
{'loss': 4.7852, 'grad_norm': 8486.59375, 'learning_rate': 1.543026706231454e-06, 'num_tokens': 43073.0, 'mean_token_accuracy': 0.7952069640159607, 'epoch': 0.03}
{'loss': 5.2578, 'grad_norm': 2843.08740234375, 'learning_rate': 1.572700296735905e-06, 'num_tokens': 43926.0, 'mean_token_accuracy': 0.781190037727356, 'epoch': 0.03}
{'loss': 4.9062, 'grad_norm': 1651.5528564453125, 'learning_rate': 1.6023738872403563e-06, 'num_tokens': 44729.0, 'mean_token_accuracy': 0.8024439811706543, 'epoch': 0.03}
{'loss': 6.5078, 'grad_norm': 1327.4036865234375, 'learning_rate': 1.6320474777448073e-06, 'num_tokens': 45415.0, 'mean_token_accuracy': 0.7535410523414612, 'epoch': 0.03}
{'loss': 4.3086, 'grad_norm': 1431.4810791015625, 'learning_rate': 1.6617210682492582e-06, 'num_tokens': 46287.0, 'mean_token_accuracy': 0.8021978139877319, 'epoch': 0.03}
{'loss': 4.2891, 'grad_norm': 2261.84521484375, 'learning_rate': 1.6913946587537095e-06, 'num_tokens': 47241.0, 'mean_token_accuracy': 0.8250824809074402, 'epoch': 0.03}
{'loss': 6.168, 'grad_norm': 5665.8193359375, 'learning_rate': 1.7210682492581604e-06, 'num_tokens': 47919.0, 'mean_token_accuracy': 0.7677595615386963, 'epoch': 0.04}
{'loss': 4.3711, 'grad_norm': 3984.378173828125, 'learning_rate': 1.7507418397626114e-06, 'num_tokens': 48891.0, 'mean_token_accuracy': 0.805695116519928, 'epoch': 0.04}
{'loss': 5.4141, 'grad_norm': 2051.66015625, 'learning_rate': 1.7804154302670625e-06, 'num_tokens': 49586.0, 'mean_token_accuracy': 0.7780678868293762, 'epoch': 0.04}
{'loss': 6.6367, 'grad_norm': 4468.97998046875, 'learning_rate': 1.8100890207715136e-06, 'num_tokens': 50315.0, 'mean_token_accuracy': 0.7342995405197144, 'epoch': 0.04}
{'loss': 6.7734, 'grad_norm': 7846.5361328125, 'learning_rate': 1.8397626112759646e-06, 'num_tokens': 51015.0, 'mean_token_accuracy': 0.7223719954490662, 'epoch': 0.04}
{'loss': 7.043, 'grad_norm': 2876.99609375, 'learning_rate': 1.8694362017804155e-06, 'num_tokens': 51806.0, 'mean_token_accuracy': 0.7653758525848389, 'epoch': 0.04}
{'loss': 3.9258, 'grad_norm': 4058.207275390625, 'learning_rate': 1.8991097922848666e-06, 'num_tokens': 52832.0, 'mean_token_accuracy': 0.8569444417953491, 'epoch': 0.04}
{'loss': 5.6328, 'grad_norm': 1968.351806640625, 'learning_rate': 1.9287833827893175e-06, 'num_tokens': 53662.0, 'mean_token_accuracy': 0.7295719981193542, 'epoch': 0.04}
{'loss': 5.2324, 'grad_norm': 753.1142578125, 'learning_rate': 1.9584569732937684e-06, 'num_tokens': 54562.0, 'mean_token_accuracy': 0.8490231037139893, 'epoch': 0.04}
{'loss': 5.3086, 'grad_norm': 1716.1024169921875, 'learning_rate': 1.98813056379822e-06, 'num_tokens': 55476.0, 'mean_token_accuracy': 0.7418803572654724, 'epoch': 0.04}
{'loss': 5.832, 'grad_norm': 1292.6048583984375, 'learning_rate': 2.0178041543026707e-06, 'num_tokens': 56394.0, 'mean_token_accuracy': 0.7770270109176636, 'epoch': 0.04}
{'loss': 4.6562, 'grad_norm': 2564.17431640625, 'learning_rate': 2.0474777448071216e-06, 'num_tokens': 57445.0, 'mean_token_accuracy': 0.8177710771560669, 'epoch': 0.04}
{'loss': 5.5508, 'grad_norm': 1456.330810546875, 'learning_rate': 2.077151335311573e-06, 'num_tokens': 58157.0, 'mean_token_accuracy': 0.7670588493347168, 'epoch': 0.04}
{'loss': 5.4219, 'grad_norm': 742.5189208984375, 'learning_rate': 2.106824925816024e-06, 'num_tokens': 59047.0, 'mean_token_accuracy': 0.8121739029884338, 'epoch': 0.04}
{'loss': 3.707, 'grad_norm': 1772.307861328125, 'learning_rate': 2.136498516320475e-06, 'num_tokens': 60107.0, 'mean_token_accuracy': 0.826347291469574, 'epoch': 0.04}
{'loss': 4.6328, 'grad_norm': 631.45751953125, 'learning_rate': 2.166172106824926e-06, 'num_tokens': 60730.0, 'mean_token_accuracy': 0.798866868019104, 'epoch': 0.04}
{'loss': 3.7734, 'grad_norm': 2034.6448974609375, 'learning_rate': 2.195845697329377e-06, 'num_tokens': 61561.0, 'mean_token_accuracy': 0.8490195870399475, 'epoch': 0.04}
{'loss': 4.5781, 'grad_norm': 700.4480590820312, 'learning_rate': 2.225519287833828e-06, 'num_tokens': 62480.0, 'mean_token_accuracy': 0.7900552749633789, 'epoch': 0.05}
{'loss': 5.1133, 'grad_norm': 3389.476806640625, 'learning_rate': 2.255192878338279e-06, 'num_tokens': 63089.0, 'mean_token_accuracy': 0.7948718070983887, 'epoch': 0.05}
{'loss': 4.375, 'grad_norm': 569.2481689453125, 'learning_rate': 2.2848664688427303e-06, 'num_tokens': 64260.0, 'mean_token_accuracy': 0.8100775480270386, 'epoch': 0.05}
{'loss': 3.6367, 'grad_norm': 8566.08203125, 'learning_rate': 2.314540059347181e-06, 'num_tokens': 65238.0, 'mean_token_accuracy': 0.8418367505073547, 'epoch': 0.05}
{'loss': 3.8594, 'grad_norm': 631.124267578125, 'learning_rate': 2.344213649851632e-06, 'num_tokens': 66044.0, 'mean_token_accuracy': 0.8302277326583862, 'epoch': 0.05}
{'loss': 4.9141, 'grad_norm': 5141.06201171875, 'learning_rate': 2.3738872403560835e-06, 'num_tokens': 66639.0, 'mean_token_accuracy': 0.7627627849578857, 'epoch': 0.05}
{'loss': 3.9922, 'grad_norm': 878.2672729492188, 'learning_rate': 2.4035608308605344e-06, 'num_tokens': 67741.0, 'mean_token_accuracy': 0.8361508250236511, 'epoch': 0.05}
{'loss': 3.6172, 'grad_norm': 1063.1744384765625, 'learning_rate': 2.4332344213649853e-06, 'num_tokens': 68643.0, 'mean_token_accuracy': 0.8057921528816223, 'epoch': 0.05}
{'loss': 5.1992, 'grad_norm': 4726.29052734375, 'learning_rate': 2.4629080118694367e-06, 'num_tokens': 69312.0, 'mean_token_accuracy': 0.788203775882721, 'epoch': 0.05}
{'loss': 3.6641, 'grad_norm': 538.0465087890625, 'learning_rate': 2.4925816023738876e-06, 'num_tokens': 70014.0, 'mean_token_accuracy': 0.8333333134651184, 'epoch': 0.05}
{'loss': 3.4844, 'grad_norm': 2509.89111328125, 'learning_rate': 2.5222551928783385e-06, 'num_tokens': 71182.0, 'mean_token_accuracy': 0.8174037337303162, 'epoch': 0.05}
{'loss': 3.3906, 'grad_norm': 629.7086181640625, 'learning_rate': 2.5519287833827894e-06, 'num_tokens': 72206.0, 'mean_token_accuracy': 0.8444084525108337, 'epoch': 0.05}
{'loss': 3.8984, 'grad_norm': 1278.3416748046875, 'learning_rate': 2.5816023738872403e-06, 'num_tokens': 72986.0, 'mean_token_accuracy': 0.8111332058906555, 'epoch': 0.05}
{'loss': 4.9609, 'grad_norm': 28555.595703125, 'learning_rate': 2.6112759643916917e-06, 'num_tokens': 73690.0, 'mean_token_accuracy': 0.8238213658332825, 'epoch': 0.05}
{'loss': 2.5176, 'grad_norm': 324.2547912597656, 'learning_rate': 2.6409495548961426e-06, 'num_tokens': 74863.0, 'mean_token_accuracy': 0.8733681440353394, 'epoch': 0.05}
{'loss': 3.3516, 'grad_norm': 564.385009765625, 'learning_rate': 2.670623145400594e-06, 'num_tokens': 76015.0, 'mean_token_accuracy': 0.8526315689086914, 'epoch': 0.05}
{'loss': 4.8516, 'grad_norm': 986.465576171875, 'learning_rate': 2.700296735905045e-06, 'num_tokens': 76770.0, 'mean_token_accuracy': 0.756440281867981, 'epoch': 0.05}
{'loss': 4.3398, 'grad_norm': 516.0034790039062, 'learning_rate': 2.729970326409496e-06, 'num_tokens': 77462.0, 'mean_token_accuracy': 0.8052631616592407, 'epoch': 0.06}
{'loss': 4.1328, 'grad_norm': 1463.2037353515625, 'learning_rate': 2.7596439169139467e-06, 'num_tokens': 78228.0, 'mean_token_accuracy': 0.8098591566085815, 'epoch': 0.06}
{'loss': 2.8242, 'grad_norm': 1072.46875, 'learning_rate': 2.789317507418398e-06, 'num_tokens': 79140.0, 'mean_token_accuracy': 0.8586572408676147, 'epoch': 0.06}
{'loss': 3.7344, 'grad_norm': 1385.88134765625, 'learning_rate': 2.818991097922849e-06, 'num_tokens': 80082.0, 'mean_token_accuracy': 0.8184874057769775, 'epoch': 0.06}
{'loss': 4.3984, 'grad_norm': 3125.805419921875, 'learning_rate': 2.8486646884273e-06, 'num_tokens': 80791.0, 'mean_token_accuracy': 0.7983871102333069, 'epoch': 0.06}
{'loss': 3.375, 'grad_norm': 1157.7393798828125, 'learning_rate': 2.878338278931751e-06, 'num_tokens': 81728.0, 'mean_token_accuracy': 0.82833331823349, 'epoch': 0.06}
{'loss': 3.3867, 'grad_norm': 1577.1893310546875, 'learning_rate': 2.9080118694362018e-06, 'num_tokens': 82575.0, 'mean_token_accuracy': 0.8275193572044373, 'epoch': 0.06}
{'loss': 5.4297, 'grad_norm': 1266.2939453125, 'learning_rate': 2.937685459940653e-06, 'num_tokens': 83210.0, 'mean_token_accuracy': 0.7366864085197449, 'epoch': 0.06}
{'loss': 4.7656, 'grad_norm': 1408.7445068359375, 'learning_rate': 2.967359050445104e-06, 'num_tokens': 84111.0, 'mean_token_accuracy': 0.7590618133544922, 'epoch': 0.06}
{'loss': 3.7188, 'grad_norm': 537.9921875, 'learning_rate': 2.9970326409495554e-06, 'num_tokens': 85036.0, 'mean_token_accuracy': 0.8446428775787354, 'epoch': 0.06}
{'loss': 3.957, 'grad_norm': 1297.0318603515625, 'learning_rate': 3.0267062314540063e-06, 'num_tokens': 85692.0, 'mean_token_accuracy': 0.8070175647735596, 'epoch': 0.06}
{'loss': 3.8594, 'grad_norm': 655.8953857421875, 'learning_rate': 3.056379821958457e-06, 'num_tokens': 86626.0, 'mean_token_accuracy': 0.8210862874984741, 'epoch': 0.06}
{'loss': 3.418, 'grad_norm': 173.81861877441406, 'learning_rate': 3.086053412462908e-06, 'num_tokens': 87668.0, 'mean_token_accuracy': 0.8134430646896362, 'epoch': 0.06}
{'loss': 2.6836, 'grad_norm': 130.49656677246094, 'learning_rate': 3.115727002967359e-06, 'num_tokens': 88579.0, 'mean_token_accuracy': 0.853989839553833, 'epoch': 0.06}
{'loss': 3.1289, 'grad_norm': 657.4889526367188, 'learning_rate': 3.14540059347181e-06, 'num_tokens': 89445.0, 'mean_token_accuracy': 0.8715415000915527, 'epoch': 0.06}
{'loss': 4.8203, 'grad_norm': 2145.57958984375, 'learning_rate': 3.1750741839762617e-06, 'num_tokens': 90193.0, 'mean_token_accuracy': 0.7966902852058411, 'epoch': 0.06}
{'loss': 3.0156, 'grad_norm': 731.5989379882812, 'learning_rate': 3.2047477744807127e-06, 'num_tokens': 90904.0, 'mean_token_accuracy': 0.8828337788581848, 'epoch': 0.06}
{'loss': 3.3594, 'grad_norm': 287.8724060058594, 'learning_rate': 3.2344213649851636e-06, 'num_tokens': 91609.0, 'mean_token_accuracy': 0.8341708779335022, 'epoch': 0.07}
{'loss': 3.0938, 'grad_norm': 412.7610168457031, 'learning_rate': 3.2640949554896145e-06, 'num_tokens': 92400.0, 'mean_token_accuracy': 0.8382978439331055, 'epoch': 0.07}
{'loss': 3.2266, 'grad_norm': 394.65777587890625, 'learning_rate': 3.2937685459940654e-06, 'num_tokens': 93368.0, 'mean_token_accuracy': 0.841091513633728, 'epoch': 0.07}
{'loss': 3.582, 'grad_norm': 1916.66162109375, 'learning_rate': 3.3234421364985163e-06, 'num_tokens': 94215.0, 'mean_token_accuracy': 0.8496240377426147, 'epoch': 0.07}
{'loss': 3.3203, 'grad_norm': 1347.9849853515625, 'learning_rate': 3.3531157270029673e-06, 'num_tokens': 94908.0, 'mean_token_accuracy': 0.8428184390068054, 'epoch': 0.07}
{'loss': 3.6406, 'grad_norm': 180.5074462890625, 'learning_rate': 3.382789317507419e-06, 'num_tokens': 95810.0, 'mean_token_accuracy': 0.8441558480262756, 'epoch': 0.07}
{'loss': 2.6348, 'grad_norm': 476.1107482910156, 'learning_rate': 3.41246290801187e-06, 'num_tokens': 96996.0, 'mean_token_accuracy': 0.8609693646430969, 'epoch': 0.07}
{'loss': 3.5039, 'grad_norm': 469.7927551269531, 'learning_rate': 3.442136498516321e-06, 'num_tokens': 97805.0, 'mean_token_accuracy': 0.8353174328804016, 'epoch': 0.07}
{'loss': 3.3945, 'grad_norm': 604.154296875, 'learning_rate': 3.471810089020772e-06, 'num_tokens': 98485.0, 'mean_token_accuracy': 0.8216867446899414, 'epoch': 0.07}
{'loss': 3.3008, 'grad_norm': 842.700439453125, 'learning_rate': 3.5014836795252227e-06, 'num_tokens': 99251.0, 'mean_token_accuracy': 0.8481308221817017, 'epoch': 0.07}
{'loss': 2.9121, 'grad_norm': 1789.213134765625, 'learning_rate': 3.5311572700296736e-06, 'num_tokens': 100078.0, 'mean_token_accuracy': 0.8766233921051025, 'epoch': 0.07}
{'loss': 4.1094, 'grad_norm': 1597.854248046875, 'learning_rate': 3.560830860534125e-06, 'num_tokens': 101045.0, 'mean_token_accuracy': 0.7922534942626953, 'epoch': 0.07}
{'loss': 3.3945, 'grad_norm': 591.4305419921875, 'learning_rate': 3.5905044510385763e-06, 'num_tokens': 101755.0, 'mean_token_accuracy': 0.8156565427780151, 'epoch': 0.07}
{'loss': 4.0898, 'grad_norm': 170.2470245361328, 'learning_rate': 3.6201780415430273e-06, 'num_tokens': 102327.0, 'mean_token_accuracy': 0.7781456708908081, 'epoch': 0.07}
{'loss': 2.9219, 'grad_norm': 67.6967544555664, 'learning_rate': 3.649851632047478e-06, 'num_tokens': 103159.0, 'mean_token_accuracy': 0.8562368154525757, 'epoch': 0.07}
{'loss': 2.7734, 'grad_norm': 763.5477905273438, 'learning_rate': 3.679525222551929e-06, 'num_tokens': 103856.0, 'mean_token_accuracy': 0.8721804618835449, 'epoch': 0.07}
{'loss': 2.4746, 'grad_norm': 2057.62646484375, 'learning_rate': 3.70919881305638e-06, 'num_tokens': 104733.0, 'mean_token_accuracy': 0.8576998114585876, 'epoch': 0.07}
{'loss': 3.4961, 'grad_norm': 191.8413848876953, 'learning_rate': 3.738872403560831e-06, 'num_tokens': 105546.0, 'mean_token_accuracy': 0.833001971244812, 'epoch': 0.08}
{'loss': 2.4961, 'grad_norm': 243.8018341064453, 'learning_rate': 3.7685459940652823e-06, 'num_tokens': 106492.0, 'mean_token_accuracy': 0.8687707781791687, 'epoch': 0.08}
{'loss': 2.3301, 'grad_norm': 316.1930847167969, 'learning_rate': 3.7982195845697332e-06, 'num_tokens': 107282.0, 'mean_token_accuracy': 0.8948546051979065, 'epoch': 0.08}
{'loss': 3.3301, 'grad_norm': 133.1837615966797, 'learning_rate': 3.8278931750741846e-06, 'num_tokens': 107993.0, 'mean_token_accuracy': 0.8139013648033142, 'epoch': 0.08}
{'loss': 3.0273, 'grad_norm': 451.12469482421875, 'learning_rate': 3.857566765578635e-06, 'num_tokens': 108837.0, 'mean_token_accuracy': 0.8248587846755981, 'epoch': 0.08}
{'loss': 3.6602, 'grad_norm': 228.04966735839844, 'learning_rate': 3.887240356083086e-06, 'num_tokens': 109810.0, 'mean_token_accuracy': 0.8358458876609802, 'epoch': 0.08}
{'loss': 3.6641, 'grad_norm': 3511.1171875, 'learning_rate': 3.916913946587537e-06, 'num_tokens': 110453.0, 'mean_token_accuracy': 0.8028674125671387, 'epoch': 0.08}
{'loss': 2.7188, 'grad_norm': 499.15960693359375, 'learning_rate': 3.946587537091989e-06, 'num_tokens': 111250.0, 'mean_token_accuracy': 0.8571428656578064, 'epoch': 0.08}
{'loss': 2.1875, 'grad_norm': 469.86297607421875, 'learning_rate': 3.97626112759644e-06, 'num_tokens': 112218.0, 'mean_token_accuracy': 0.8814102411270142, 'epoch': 0.08}
{'loss': 1.9492, 'grad_norm': 298.7769470214844, 'learning_rate': 4.005934718100891e-06, 'num_tokens': 113075.0, 'mean_token_accuracy': 0.9014337062835693, 'epoch': 0.08}
{'loss': 2.707, 'grad_norm': 261.0561218261719, 'learning_rate': 4.0356083086053414e-06, 'num_tokens': 113947.0, 'mean_token_accuracy': 0.849609375, 'epoch': 0.08}
{'loss': 3.9336, 'grad_norm': 2061.31689453125, 'learning_rate': 4.065281899109793e-06, 'num_tokens': 114774.0, 'mean_token_accuracy': 0.781632661819458, 'epoch': 0.08}
{'loss': 3.668, 'grad_norm': 715.4725341796875, 'learning_rate': 4.094955489614243e-06, 'num_tokens': 115663.0, 'mean_token_accuracy': 0.8077669739723206, 'epoch': 0.08}
{'loss': 4.0234, 'grad_norm': 349.1519470214844, 'learning_rate': 4.124629080118695e-06, 'num_tokens': 116304.0, 'mean_token_accuracy': 0.7642487287521362, 'epoch': 0.08}
{'loss': 3.6406, 'grad_norm': 132.91580200195312, 'learning_rate': 4.154302670623146e-06, 'num_tokens': 117095.0, 'mean_token_accuracy': 0.8080357313156128, 'epoch': 0.08}
